[24, 16, 25, 17, 23, 14, 11, 6, 19, 21, 18, 10, 22, 15, 20]

[0, 6, 4, 10, 4, 8, 5, 2, 2, 7, 6, 2, 2, 7, 3, 7]
[6, 0, 6, 8, 5, 7, 11, 7, 8, 3, 5, 8, 8, 5, 3, 2]
[4, 6, 0, 6, 7, 11, 5, 5, 4, 3, 9, 6, 2, 3, 7, 8]
[10, 8, 6, 0, 13, 15, 11, 11, 10, 5, 13, 12, 8, 3, 11, 10]
[4, 5, 7, 13, 0, 4, 8, 2, 3, 8, 2, 4, 5, 10, 3, 3]
[8, 7, 11, 15, 4, 0, 12, 6, 7, 10, 2, 8, 9, 12, 7, 5]
[5, 11, 5, 11, 8, 12, 0, 6, 5, 8, 10, 7, 3, 8, 8, 11]
[2, 7, 5, 11, 2, 6, 6, 0, 3, 8, 4, 2, 3, 8, 5, 5]
[2, 8, 4, 10, 3, 7, 5, 3, 0, 7, 5, 2, 2, 7, 5, 6]
[7, 3, 3, 5, 8, 10, 8, 8, 7, 0, 8, 9, 5, 2, 6, 5]
[6, 5, 9, 13, 2, 2, 10, 4, 5, 8, 0, 6, 7, 10, 5, 3]
[2, 8, 6, 12, 4, 8, 7, 2, 2, 9, 6, 0, 4, 9, 5, 7]
[2, 8, 2, 8, 5, 9, 3, 3, 2, 5, 7, 4, 0, 5, 5, 8]
[7, 5, 3, 3, 10, 12, 8, 8, 7, 2, 10, 9, 5, 0, 8, 7]
[3, 3, 7, 11, 3, 7, 8, 5, 5, 6, 5, 5, 5, 8, 0, 5]
[7, 2, 8, 10, 3, 5, 11, 5, 6, 5, 3, 7, 8, 7, 5, 0]
[24, 16, 25, 17, 23, 14, 11, 6, 19, 21, 18, 10, 22, 15, 20]
